Code,Delta_Code,Evo_ID,Evo_ID_2,Timepoint,Condition,condition_short,evo_trt,Importer,Delta mM glucose,Delta mM fructose,Delta mM lactate,Delta mM acetate,Delta OD x1000,Delta OD,Delta cell/mL count,growth rate,Extracellular flux glu (mM / (cell/mL) * (1/hr)),Extracellular flux fru (mM / (cell/mL) * (1/hr)),Extracellular flux lact (mM / (cell/mL) * (1/hr)),Extracellular flux ace (mM / (cell/mL) * (1/hr)),Extracellular flux glu (fmol/cell * hr^-1),Extracellular flux fru (fmol/cell * hr^-1),Extracellular flux lact (fmol/cell * hr^-1),Extracellular flux ace (fmol/cell * hr^-1),flux.glu,flux.fru,flux.lact,flux.ace,flux.glu.0,flux.fru.0,anc.value.lact.0,anc.value.ace.0,anc.value.glu.pos,anc.value.fru.pos,flux.lact.0,flux.ace.0,flux.glu.pos,flux.fru.pos,flux.data.col,metabolite,flux.anc.data.col
117,317,17,X1,Delta,G 40 mM + F 40 mM,GF,X,lacY,-11.92288923,0.22959865,8.7001728,14.67362751,1132,1.132,232860603.2,0.2615,-1.34E-08,2.58E-10,9.77E-09,1.65E-08,-13.38927879,0.257836861,9.770202243,16.47832885,-13.11462313,0.252547827,9.569785077,16.14030719,-13.11462313,0,1.94116721,7.586838183,6.887545453,1.548125703,9.569785077,16.14030719,13.11462313,0,13.11462313,G,6.887545453
118,318,18,X2,Delta,G 40 mM + F 40 mM,GF,X,lacY,-15.85050592,-5.13585246,15.875772,23.40358309,1362,1.362,196506794.5,0.3601,-2.90E-08,-9.41E-09,2.91E-08,4.29E-08,-29.04615689,-9.411483586,29.09245714,42.88722073,-19.76912171,-6.405555309,19.80063415,29.18949621,-19.76912171,-6.405555309,1.94116721,7.586838183,6.887545453,1.548125703,19.80063415,29.18949621,19.76912171,6.405555309,19.76912171,G,6.887545453
119,319,19,X3,Delta,G 40 mM + F 40 mM,GF,X,lacY,-8.98725812,-3.26760881,13.65407208,20.08259207,1196,1.196,191630064.1,0.2794,-1.31E-08,-4.76E-09,1.99E-08,2.93E-08,-13.10358023,-4.764231051,19.90787697,29.28077206,-9.967442829,-3.623986712,15.14323735,22.2728763,-9.967442829,-3.623986712,1.94116721,7.586838183,6.887545453,1.548125703,15.14323735,22.2728763,9.967442829,3.623986712,9.967442829,G,6.887545453
120,320,20,X4,Delta,G 40 mM + F 40 mM,GF,X,lacY,-8.80240809,-4.43360832,8.5355688,15.80157462,1123,1.123,181211594.5,0.3838,-1.86E-08,-9.39E-09,1.81E-08,3.35E-08,-18.64320125,-9.390231778,18.0780447,33.46719814,-14.33075064,-7.218131066,13.89632324,25.72573588,-14.33075064,-7.218131066,1.94116721,7.586838183,6.887545453,1.548125703,13.89632324,25.72573588,14.33075064,7.218131066,14.33075064,G,6.887545453
121,321,21,X5,Delta,G 40 mM + F 40 mM,GF,X,lacY,-7.72611661,-3.80711855,11.49140256,18.46863458,1134,1.134,237737333.6,0.2965,-9.64E-09,-4.75E-09,1.43E-08,2.30E-08,-9.635817565,-4.748142133,14.33178714,23.03361475,-9.617881874,-4.739304148,14.30511057,22.99074098,-9.617881874,-4.739304148,1.94116721,7.586838183,6.887545453,1.548125703,14.30511057,22.99074098,9.617881874,4.739304148,9.617881874,G,6.887545453
122,322,22,X6,Delta,G 40 mM + F 40 mM,GF,X,lacY,-10.54442547,-0.39802122,11.37720144,17.79623225,1038,1.038,288721333.5,0.2777,-1.01E-08,-3.83E-10,1.09E-08,1.71E-08,-10.14191406,-0.382827592,10.94290055,17.11689828,-13.50014582,-0.509591018,14.5663582,22.78471512,-13.50014582,-0.509591018,1.94116721,7.586838183,6.887545453,1.548125703,14.5663582,22.78471512,13.50014582,0.509591018,13.50014582,G,6.887545453
123,323,23,X7,Delta,G 40 mM + F 40 mM,GF,X,lacY,-13.02916537,-2.79918236,10.69562736,24.19880739,1234,1.234,251924185.7,0.2531,-1.31E-08,-2.81E-09,1.07E-08,2.43E-08,-13.08997683,-2.812247078,10.74554742,24.3117513,-12.66645587,-2.721257948,10.39787953,23.5251543,-12.66645587,-2.721257948,1.94116721,7.586838183,6.887545453,1.548125703,10.39787953,23.5251543,12.66645587,2.721257948,12.66645587,G,6.887545453
124,324,24,X8,Delta,G 40 mM + F 40 mM,GF,X,lacY,-15.58313578,-2.14007037,12.19749696,20.92963189,1248,1.248,235742307.5,0.2623,-1.73E-08,-2.38E-09,1.36E-08,2.33E-08,-17.33866338,-2.381161294,13.57161337,23.28747226,-15.51505391,-2.130720519,12.14420676,20.83819147,-15.51505391,-2.130720519,1.94116721,7.586838183,6.887545453,1.548125703,12.14420676,20.83819147,15.51505391,2.130720519,15.51505391,G,6.887545453
117,317,17,X1,Delta,G 40 mM + F 40 mM,GF,X,lacY,-11.92288923,0.22959865,8.7001728,14.67362751,1132,1.132,232860603.2,0.2615,-1.34E-08,2.58E-10,9.77E-09,1.65E-08,-13.38927879,0.257836861,9.770202243,16.47832885,-13.11462313,0.252547827,9.569785077,16.14030719,-13.11462313,0,1.94116721,7.586838183,6.887545453,1.548125703,9.569785077,16.14030719,13.11462313,0,0,F,1.548125703
118,318,18,X2,Delta,G 40 mM + F 40 mM,GF,X,lacY,-15.85050592,-5.13585246,15.875772,23.40358309,1362,1.362,196506794.5,0.3601,-2.90E-08,-9.41E-09,2.91E-08,4.29E-08,-29.04615689,-9.411483586,29.09245714,42.88722073,-19.76912171,-6.405555309,19.80063415,29.18949621,-19.76912171,-6.405555309,1.94116721,7.586838183,6.887545453,1.548125703,19.80063415,29.18949621,19.76912171,6.405555309,6.405555309,F,1.548125703
119,319,19,X3,Delta,G 40 mM + F 40 mM,GF,X,lacY,-8.98725812,-3.26760881,13.65407208,20.08259207,1196,1.196,191630064.1,0.2794,-1.31E-08,-4.76E-09,1.99E-08,2.93E-08,-13.10358023,-4.764231051,19.90787697,29.28077206,-9.967442829,-3.623986712,15.14323735,22.2728763,-9.967442829,-3.623986712,1.94116721,7.586838183,6.887545453,1.548125703,15.14323735,22.2728763,9.967442829,3.623986712,3.623986712,F,1.548125703
120,320,20,X4,Delta,G 40 mM + F 40 mM,GF,X,lacY,-8.80240809,-4.43360832,8.5355688,15.80157462,1123,1.123,181211594.5,0.3838,-1.86E-08,-9.39E-09,1.81E-08,3.35E-08,-18.64320125,-9.390231778,18.0780447,33.46719814,-14.33075064,-7.218131066,13.89632324,25.72573588,-14.33075064,-7.218131066,1.94116721,7.586838183,6.887545453,1.548125703,13.89632324,25.72573588,14.33075064,7.218131066,7.218131066,F,1.548125703
121,321,21,X5,Delta,G 40 mM + F 40 mM,GF,X,lacY,-7.72611661,-3.80711855,11.49140256,18.46863458,1134,1.134,237737333.6,0.2965,-9.64E-09,-4.75E-09,1.43E-08,2.30E-08,-9.635817565,-4.748142133,14.33178714,23.03361475,-9.617881874,-4.739304148,14.30511057,22.99074098,-9.617881874,-4.739304148,1.94116721,7.586838183,6.887545453,1.548125703,14.30511057,22.99074098,9.617881874,4.739304148,4.739304148,F,1.548125703
122,322,22,X6,Delta,G 40 mM + F 40 mM,GF,X,lacY,-10.54442547,-0.39802122,11.37720144,17.79623225,1038,1.038,288721333.5,0.2777,-1.01E-08,-3.83E-10,1.09E-08,1.71E-08,-10.14191406,-0.382827592,10.94290055,17.11689828,-13.50014582,-0.509591018,14.5663582,22.78471512,-13.50014582,-0.509591018,1.94116721,7.586838183,6.887545453,1.548125703,14.5663582,22.78471512,13.50014582,0.509591018,0.509591018,F,1.548125703
123,323,23,X7,Delta,G 40 mM + F 40 mM,GF,X,lacY,-13.02916537,-2.79918236,10.69562736,24.19880739,1234,1.234,251924185.7,0.2531,-1.31E-08,-2.81E-09,1.07E-08,2.43E-08,-13.08997683,-2.812247078,10.74554742,24.3117513,-12.66645587,-2.721257948,10.39787953,23.5251543,-12.66645587,-2.721257948,1.94116721,7.586838183,6.887545453,1.548125703,10.39787953,23.5251543,12.66645587,2.721257948,2.721257948,F,1.548125703
124,324,24,X8,Delta,G 40 mM + F 40 mM,GF,X,lacY,-15.58313578,-2.14007037,12.19749696,20.92963189,1248,1.248,235742307.5,0.2623,-1.73E-08,-2.38E-09,1.36E-08,2.33E-08,-17.33866338,-2.381161294,13.57161337,23.28747226,-15.51505391,-2.130720519,12.14420676,20.83819147,-15.51505391,-2.130720519,1.94116721,7.586838183,6.887545453,1.548125703,12.14420676,20.83819147,15.51505391,2.130720519,2.130720519,F,1.548125703
