Code,Delta_Code,Evo_ID,Evo_ID_2,Timepoint,Condition,condition_short,evo_trt,Importer,Delta mM glucose,Delta mM fructose,Delta mM lactate,Delta mM acetate,Delta OD x1000,Delta OD,Delta cell/mL count,growth rate,Extracellular flux glu (mM / (cell/mL) * (1/hr)),Extracellular flux fru (mM / (cell/mL) * (1/hr)),Extracellular flux lact (mM / (cell/mL) * (1/hr)),Extracellular flux ace (mM / (cell/mL) * (1/hr)),Extracellular flux glu (fmol/cell * hr^-1),Extracellular flux fru (fmol/cell * hr^-1),Extracellular flux lact (fmol/cell * hr^-1),Extracellular flux ace (fmol/cell * hr^-1),flux.glu,flux.fru,flux.lact,flux.ace,flux.glu.0,flux.fru.0,anc.value.lact.0,anc.value.ace.0,anc.value.glu.pos,anc.value.fru.pos,flux.lact.0,flux.ace.0,flux.glu.pos,flux.fru.pos,flux.data.col,metabolite,flux.anc.data.col
101,301,1,F1,Delta,G 40 mM + F 40 mM,GF,F,glcU,-8.72416557,-1.58564331,7.44032784,12.72694721,817,0.817,223772151,0.3047,-1.19E-08,-2.16E-09,1.01E-08,1.73E-08,-11.87928541,-2.159095823,10.13114404,17.32968468,-15.83128318,-2.877383294,13.50157056,23.09491994,-15.83128318,-2.877383294,1.94116721,7.586838183,6.887545453,1.548125703,13.50157056,23.09491994,15.83128318,2.877383294,15.83128318,G,6.887545453
102,302,2,F2,Delta,G 40 mM + F 40 mM,GF,F,glcU,-5.4981567,-0.09504141,4.45191384,7.604887107,684,0.684,205151907.5,0.2921,-7.83E-09,-1.35E-10,6.34E-09,1.08E-08,-7.828401848,-0.135322143,6.338737223,10.82801301,-11.60166798,-0.200547009,9.393989492,16.0470827,-11.60166798,-0.200547009,1.94116721,7.586838183,6.887545453,1.548125703,9.393989492,16.0470827,11.60166798,0.200547009,11.60166798,G,6.887545453
103,303,3,F3,Delta,G 40 mM + F 40 mM,GF,F,glcU,-14.6468004,-1.20528932,11.99384208,21.74068871,1376,1.376,233747281.4,0.3679,-2.31E-08,-1.90E-09,1.89E-08,3.42E-08,-23.05292209,-1.897031436,18.8773725,34.21814932,-18.46505018,-1.519494167,15.12049662,27.40823232,-18.46505018,-1.519494167,1.94116721,7.586838183,6.887545453,1.548125703,15.12049662,27.40823232,18.46505018,1.519494167,18.46505018,G,6.887545453
104,304,4,F4,Delta,G 40 mM + F 40 mM,GF,F,lacY,-10.44886494,-7.76947517,13.68949032,21.28802257,1214,1.214,202713542.3,0.3409,-1.76E-08,-1.31E-08,2.30E-08,3.58E-08,-17.57168277,-13.06579746,23.02138869,35.79971428,-13.91879595,-10.34961598,18.23559052,28.35749568,-13.91879595,-10.34961598,1.94116721,7.586838183,6.887545453,1.548125703,18.23559052,28.35749568,13.91879595,10.34961598,13.91879595,G,6.887545453
105,305,5,F5,Delta,G 40 mM + F 40 mM,GF,F,lacY,-10.00279121,-4.5682409,12.47630208,18.08337659,1165,1.165,237737333.6,0.3798,-1.60E-08,-7.30E-09,1.99E-08,2.89E-08,-15.98007366,-7.298045569,19.93165928,28.88930538,-15.50305016,-7.080190551,19.33667642,28.02692653,-15.50305016,-7.080190551,1.94116721,7.586838183,6.887545453,1.548125703,19.33667642,28.02692653,15.50305016,7.080190551,15.50305016,G,6.887545453
106,306,6,F6,Delta,G 40 mM + F 40 mM,GF,F,lacY,-15.55070085,-5.1845221,19.01255664,30.21036725,1453,1.453,296701437.9,0.2814,-1.47E-08,-4.92E-09,1.80E-08,2.87E-08,-14.74872266,-4.917146777,18.03204419,28.65236315,-14.1665997,-4.723070035,17.32033056,27.5214721,-14.1665997,-4.723070035,1.94116721,7.586838183,6.887545453,1.548125703,17.32033056,27.5214721,14.1665997,4.723070035,14.1665997,G,6.887545453
107,307,7,F7,Delta,G 40 mM + F 40 mM,GF,F,glcU,-14.61203979,-1.34380191,10.28468496,18.10568605,1323,1.323,183206620.6,0.3504,-2.79E-08,-2.57E-09,1.97E-08,3.46E-08,-27.94690894,-2.570148326,19.6704333,34.62883804,-18.28094771,-1.681214451,12.86704599,22.65180665,-18.28094771,-1.681214451,1.94116721,7.586838183,6.887545453,1.548125703,12.86704599,22.65180665,18.28094771,1.681214451,18.28094771,G,6.887545453
108,308,8,F8,Delta,G 40 mM + F 40 mM,GF,F,lacY,-9.02434441,-4.0276764,16.8843972,27.6385423,1331,1.331,261012637.9,0.4049,-1.40E-08,-6.25E-09,2.62E-08,4.29E-08,-13.99915759,-6.247996984,26.19218932,42.8747277,-12.96420981,-5.786087003,24.25581936,39.70502953,-12.96420981,-5.786087003,1.94116721,7.586838183,6.887545453,1.548125703,24.25581936,39.70502953,12.96420981,5.786087003,12.96420981,G,6.887545453
101,301,1,F1,Delta,G 40 mM + F 40 mM,GF,F,glcU,-8.72416557,-1.58564331,7.44032784,12.72694721,817,0.817,223772151,0.3047,-1.19E-08,-2.16E-09,1.01E-08,1.73E-08,-11.87928541,-2.159095823,10.13114404,17.32968468,-15.83128318,-2.877383294,13.50157056,23.09491994,-15.83128318,-2.877383294,1.94116721,7.586838183,6.887545453,1.548125703,13.50157056,23.09491994,15.83128318,2.877383294,2.877383294,F,1.548125703
102,302,2,F2,Delta,G 40 mM + F 40 mM,GF,F,glcU,-5.4981567,-0.09504141,4.45191384,7.604887107,684,0.684,205151907.5,0.2921,-7.83E-09,-1.35E-10,6.34E-09,1.08E-08,-7.828401848,-0.135322143,6.338737223,10.82801301,-11.60166798,-0.200547009,9.393989492,16.0470827,-11.60166798,-0.200547009,1.94116721,7.586838183,6.887545453,1.548125703,9.393989492,16.0470827,11.60166798,0.200547009,0.200547009,F,1.548125703
