Replicate,importer,umax_on_P
1,glcU,0.0315
2,glcU,0.06415
3,glcU,0.05305
7,glcU,0.0347
4,lacY,2.11E-01
5,lacY,0.16795
6,lacY,0.11035
8,lacY,0.2519
