strain,base.medium,carbon,carbon2,Condition,OD.600,diluted
Banimlact,MP5,Monomer,F,anaerobic,0.292,292
Banimlact,MP5,Monomer,F,anaerobic,0.361,361
Banimlact,MP5,Monomer,F,anaerobic,0.321,321
Banimlact,MP5,Monomer,F,anaerobic,0.317,317
Banimlact,MP5,Monomer,F,anaerobic,0.291,291
Banimlact,MP5,Monomer,F,anaerobic,0.404,404
Banimlact,MP5,Monomer,F,anaerobic,0.36,360
Banimlact,MP5,Monomer,F,anaerobic,0.295,295
Banimlact,MP5,Low-DP,G-F5,anaerobic,0.821,821
Banimlact,MP5,Low-DP,G-F5,anaerobic,0.762,762
Banimlact,MP5,Low-DP,G-F5,anaerobic,0.757,757
Banimlact,MP5,Low-DP,G-F5,anaerobic,0.754,754
Banimlact,MP5,Low-DP,G-F5,anaerobic,0.74,740
Banimlact,MP5,Low-DP,G-F5,anaerobic,0.826,826
Banimlact,MP5,High-DP,G-F24,anaerobic,0.216,216
Banimlact,MP5,High-DP,G-F24,anaerobic,0.232,232
Banimlact,MP5,High-DP,G-F24,anaerobic,0.234,234
Banimlact,MP5,High-DP,G-F24,anaerobic,0.236,236
Banimlact,MP5,High-DP,G-F24,anaerobic,0.29,290
Banimlact,MP5,High-DP,G-F24,anaerobic,0.298,298
Banimlact,MP5,High-DP,G-F24,anaerobic,0.244,244
Banimlact,MP5,High-DP,G-F24,anaerobic,0.31,310
