strain,ID,base.medium,carbon.assay,carbon.tech.assay,carbon.evo,carbon.tech.evo,Condition,umax,umax.anc,offspring.per.hr,L
Banimlact,F1,MP5,Monomer,F,Monomer,F,anaerobic,0.09055,0.007033333,0.130636036,0.03955
Banimlact,F2,MP5,Monomer,F,Monomer,F,anaerobic,0.1373,0.007033333,0.198082029,4.66305
Banimlact,F3,MP5,Monomer,F,Monomer,F,anaerobic,0.1026,0.007033333,0.148020511,4.1485
Banimlact,F4,MP5,Monomer,F,Monomer,F,anaerobic,0.27095,0.007033333,0.390898221,5.86385
Banimlact,F5,MP5,Monomer,F,Monomer,F,anaerobic,0.0809,0.007033333,0.116714029,4.0061
Banimlact,F6,MP5,Monomer,F,Monomer,F,anaerobic,0.164,0.007033333,0.236601987,4.55325
Banimlact,F7,MP5,Monomer,F,Monomer,F,anaerobic,0.2266,0.007033333,0.326914696,5.78445
Banimlact,F8,MP5,Monomer,F,Monomer,F,anaerobic,0.19835,0.007033333,0.286158561,4.5123
Banimlact,P1,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.0458,0.007033333,0.066075433,6.0081
Banimlact,P2,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.02745,0.007033333,0.039601979,9.7363
Banimlact,P3,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.06845,0.007033333,0.098752476,7.1795
Banimlact,P4,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.0297,0.007033333,0.042848043,2.7169
Banimlact,P5,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.06745,0.007033333,0.097309781,7.5584
Banimlact,P6,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.0355,0.007033333,0.051215674,6.70215
Banimlact,P7,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.14505,0.007033333,0.209262916,11.28155
Banimlact,P8,MP5,Monomer,F,Low-DP,G-F5,anaerobic,0.05995,0.007033333,0.086489568,7.88925
Banimlact,X1,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.05015,0.007033333,0.072351156,4.82195
Banimlact,X2,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.08635,0.007033333,0.124576717,5.4648
Banimlact,X3,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.09805,0.007033333,0.141456249,5.096
Banimlact,X4,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.05295,0.007033333,0.076390702,8.9206
Banimlact,X5,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.1401,0.007033333,0.202121575,5.0085
Banimlact,X6,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.06655,0.007033333,0.096011355,5.41835
Banimlact,X7,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.0511,0.007033333,0.073721717,4.64965
Banimlact,X8,MP5,Monomer,F,High-DP,G-F24,anaerobic,0.07955,0.007033333,0.114766391,6.7727
Banimlact,Anc,MP5,Monomer,F,Ancestor,Ancestor,anaerobic,0.007033333,0.007033333,0.010146955,12.89005
Banimlact,F1,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.0315,0.0099,0.022722447,0
Banimlact,F2,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.06415,0.0099,0.092548887,0
Banimlact,F3,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.05305,0.0099,0.076534972,5.2695
Banimlact,F4,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.21135,0.0099,0.304913597,7.83335
Banimlact,F5,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.16795,0.0099,0.242300632,4.9512
Banimlact,F6,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.11035,0.0099,0.159201398,4.64175
Banimlact,F7,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.0347,0.0099,0.050061518,4.66865
Banimlact,F8,MP5,Low-DP,G-F5,Monomer,F,anaerobic,0.2519,0.0099,0.363414881,6.12735
Banimlact,P1,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.21775,0.0099,0.314146845,4.2305
Banimlact,P2,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.2275,0.0099,0.328213122,6.61705
Banimlact,P3,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.1932,0.0099,0.278728682,5.80205
Banimlact,P4,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.20645,0.0099,0.297844391,5.3445
Banimlact,P5,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.1848,0.0099,0.266610044,7.8066
Banimlact,P6,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.1893,0.0099,0.273102171,5.61975
Banimlact,P7,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.2502,0.0099,0.360962299,6.07225
Banimlact,P8,MP5,Low-DP,G-F5,Low-DP,G-F5,anaerobic,0.2716,0.0099,0.391835973,5.30165
Banimlact,X1,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.099,0.0099,0.142826809,9.3791
Banimlact,X2,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.16185,0.0099,0.233500192,7.73605
Banimlact,X3,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.1093,0.0099,0.157686568,6.27705
Banimlact,X4,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.14265,0.0099,0.205800448,11.4796
Banimlact,X5,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.191233333,0.0099,0.275891382,7.690666667
Banimlact,X6,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.09385,0.0099,0.13539693,6.56715
