strain,ID,base.medium,carbon.assay,carbon.tech.assay,carbon.evo,carbon.tech.evo,Condition,umax,umax.anc,offspring.per.hr,L
Banimlact,X7,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.1207,0.0099,0.174133291,6.302
Banimlact,X8,MP5,Low-DP,G-F5,High-DP,G-F24,anaerobic,0.08595,0.0099,0.123999639,7.9341
Banimlact,Anc,MP5,Low-DP,G-F5,Ancestor,Ancestor,anaerobic,0.0099,0.0099,0.014282681,7.56914
Banimlact,F1,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.0046,0.0056,0.006636397,29.52225
Banimlact,F2,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.00305,0.0056,0.00440022,0
Banimlact,F3,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.0372,0.0056,0.053668256,34.3701
Banimlact,F4,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.0353,0.0056,0.050927135,7.52095
Banimlact,F5,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.01695,0.0056,0.024453681,33.1555
Banimlact,F6,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.06975,0.0056,0.100627979,13.5984
Banimlact,F7,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.0365,0.0056,0.052658369,13.1789
Banimlact,F8,MP5,High-DP,G-F24,Monomer,F,anaerobic,0.0366,0.0056,0.052802638,13.80065
Banimlact,P1,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.0181,0.0056,0.02611278,17.90175
Banimlact,P2,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.00455,0.0056,0.006564262,7.3538
Banimlact,P3,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.0388,0.0056,0.055976568,5.0117
Banimlact,P4,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.0125,0.0056,0.018033688,13.8573
Banimlact,P5,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.01555,0.0056,0.022433908,11.58185
Banimlact,P6,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.0242,0.0056,0.03491322,15.4113
Banimlact,P7,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.0075,0.0056,0.010820213,3.8901
Banimlact,P8,MP5,High-DP,G-F24,Low-DP,G-F5,anaerobic,0.0164,0.0056,0.023660199,23.54335
Banimlact,X1,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.01445,0.0056,0.020846943,11.1783
Banimlact,X2,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.0341,0.0056,0.049195901,11.3634
Banimlact,X3,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.0469,0.0056,0.067662397,11.2081
Banimlact,X4,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.04285,0.0056,0.061819483,13.0305
Banimlact,X5,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.0478,0.0056,0.068960823,7.29085
Banimlact,X6,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.04485,0.0056,0.064704873,8.3325
Banimlact,X7,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.02565,0.0056,0.037005128,6.2386
Banimlact,X8,MP5,High-DP,G-F24,High-DP,G-F24,anaerobic,0.0625,0.0056,0.09016844,9.6612
Banimlact,Anc,MP5,High-DP,G-F24,Ancestor,Ancestor,anaerobic,0.0056,0.0056,0.008079092,29.79112
