Code,Delta_Code,Evo_ID,Evo_ID_2,Timepoint,Condition,condition_short,evo_trt,Importer,Delta mM glucose,Delta mM fructose,Delta mM lactate,Delta mM acetate,Delta OD x1000,Delta OD,Delta cell/mL count,growth rate,Extracellular flux glu (mM / (cell/mL) * (1/hr)),Extracellular flux fru (mM / (cell/mL) * (1/hr)),Extracellular flux lact (mM / (cell/mL) * (1/hr)),Extracellular flux ace (mM / (cell/mL) * (1/hr)),Extracellular flux glu (fmol/cell * hr^-1),Extracellular flux fru (fmol/cell * hr^-1),Extracellular flux lact (fmol/cell * hr^-1),Extracellular flux ace (fmol/cell * hr^-1),flux.glu,flux.fru,flux.lact,flux.ace,flux.glu.0,flux.fru.0,anc.value.lact.0,anc.value.ace.0,anc.value.glu.pos,anc.value.fru.pos,flux.lact.0,flux.ace.0,flux.glu.pos,flux.fru.pos
1,201,1,F1,Delta,F 40 mM,F,F,glcU,#VALUE!,-6.90992111,0.4308084,13.88320095,944,0.944,1.96E+08,0.1818,#VALUE!,-6.40723E-09,3.99467E-10,1.28732E-08,#VALUE!,-6.407230024,0.399467443,12.87320948,0,-6.407230024,0.399467443,12.87320948,0,-6.407230024,0.192178139,9.526866904,0,4.268493284,0.399467443,12.87320948,0,6.407230024
2,202,2,F2,Delta,F 40 mM,F,F,glcU,#VALUE!,-7.74943473,3.08819808,13.92110304,941,0.941,1.95E+08,0.2346,#VALUE!,-9.30415E-09,3.70776E-09,1.6714E-08,#VALUE!,-9.30415476,3.70776371,16.71400581,0,-9.30415476,3.70776371,16.71400581,0,-9.30415476,0.192178139,9.526866904,0,4.268493284,3.70776371,16.71400581,0,9.30415476
3,203,3,F3,Delta,F 40 mM,F,F,glcU,#VALUE!,-8.05392134,0.68986104,13.47827225,922,0.922,1.91E+08,0.1667,#VALUE!,-7.02239E-09,6.01505E-10,1.1752E-08,#VALUE!,-7.022394928,0.601505337,11.75200833,0,-7.022394928,0.601505337,11.75200833,0,-7.022394928,0.192178139,9.526866904,0,4.268493284,0.601505337,11.75200833,0,7.022394928
4,204,4,F4,Delta,F 40 mM,F,F,lacY,-1.21259294,-10.92776564,8.97806976,17.12598891,1011,1.011,2.11E+08,0.2546,-1.46374E-09,-1.31911E-08,1.08376E-08,2.06731E-08,-1.463744635,-13.19111946,10.83760346,20.67311589,-1.463744635,-13.19111946,10.83760346,20.67311589,0,-13.19111946,0.192178139,9.526866904,0,4.268493284,10.83760346,20.67311589,0,13.19111946
5,205,5,F5,Delta,F 40 mM,F,F,lacY,-1.87354289,-14.08760058,9.43271736,19.52941342,1218,1.218,2.57E+08,0.289,-2.10846E-09,-1.5854E-08,1.06154E-08,2.19781E-08,-2.108457802,-15.85397992,10.61544233,21.9781166,-2.108457802,-15.85397992,10.61544233,21.9781166,0,-15.85397992,0.192178139,9.526866904,0,4.268493284,10.61544233,21.9781166,0,15.85397992
6,206,6,F6,Delta,F 40 mM,F,F,lacY,-2.41239464,-10.97801742,4.50992256,18.15150441,1097,1.097,2.30E+08,0.2257,-2.36751E-09,-1.07738E-08,4.42601E-09,1.78138E-08,-2.367510555,-10.77376466,4.426012678,17.81378451,-2.367510555,-10.77376466,4.426012678,17.81378451,0,-10.77376466,0.192178139,9.526866904,0,4.268493284,4.426012678,17.81378451,0,10.77376466
7,207,7,F7,Delta,F 40 mM,F,F,glcU,#VALUE!,-7.71677484,0.70518624,13.56319213,813,0.813,1.67E+08,0.1512,#VALUE!,-6.98565E-09,6.38373E-10,1.22781E-08,#VALUE!,-6.985649787,0.638373441,12.27814886,0,-6.985649787,0.638373441,12.27814886,0,-6.985649787,0.192178139,9.526866904,0,4.268493284,0.638373441,12.27814886,0,6.985649787
8,208,8,F8,Delta,F 40 mM,F,F,lacY,-1.53407667,-13.99662753,11.85693696,20.97952832,1050,1.05,2.20E+08,0.2861,-1.99899E-09,-1.82384E-08,1.54503E-08,2.73375E-08,-1.99899106,-18.23841915,15.45027798,27.33754472,-1.99899106,-18.23841915,15.45027798,27.33754472,0,-18.23841915,0.192178139,9.526866904,0,4.268493284,15.45027798,27.33754472,0,18.23841915
9,209,9,P1,Delta,F 40 mM,F,P,lacY,#VALUE!,-6.76104927,4.736622,17.86603927,976,0.976,2.03E+08,0.1614,#VALUE!,-5.37138E-09,3.76306E-09,1.41939E-08,#VALUE!,-5.37138267,3.76305634,14.19385215,0,-5.37138267,3.76305634,14.19385215,0,-5.37138267,0.192178139,9.526866904,0,4.268493284,3.76305634,14.19385215,0,5.37138267
10,210,10,P2,Delta,F 40 mM,F,P,lacY,#VALUE!,-10.44306575,1.14950352,21.36142789,1066,1.066,2.23E+08,0.0664,#VALUE!,-3.10801E-09,3.42109E-10,6.35748E-09,#VALUE!,-3.108011508,0.342109324,6.357478284,0,-3.108011508,0.342109324,6.357478284,0,-3.108011508,0.192178139,9.526866904,0,4.268493284,0.342109324,6.357478284,0,3.108011508
11,211,11,P3,Delta,F 40 mM,F,P,lacY,#VALUE!,-8.94703937,3.74593296,23.65330511,887,0.887,1.83E+08,0.0611,#VALUE!,-2.98026E-09,1.24777E-09,7.87892E-09,#VALUE!,-2.980260597,1.247771015,7.878920644,0,-2.980260597,1.247771015,7.878920644,0,-2.980260597,0.192178139,9.526866904,0,4.268493284,1.247771015,7.878920644,0,2.980260597
12,212,12,P4,Delta,F 40 mM,F,P,lacY,#VALUE!,-9.27465536,2.389596,21.97265912,910,0.91,1.89E+08,0.0937,#VALUE!,-4.60961E-09,1.18766E-09,1.09207E-08,#VALUE!,-4.609613666,1.187657541,10.92067207,0,-4.609613666,1.187657541,10.92067207,0,-4.609613666,0.192178139,9.526866904,0,4.268493284,1.187657541,10.92067207,0,4.609613666
