Code,Delta_Code,Evo_ID,Evo_ID_2,Timepoint,Condition,condition_short,evo_trt,Importer,Delta mM glucose,Delta mM fructose,Delta mM lactate,Delta mM acetate,Delta OD x1000,Delta OD,Delta cell/mL count,growth rate,Extracellular flux glu (mM / (cell/mL) * (1/hr)),Extracellular flux fru (mM / (cell/mL) * (1/hr)),Extracellular flux lact (mM / (cell/mL) * (1/hr)),Extracellular flux ace (mM / (cell/mL) * (1/hr)),Extracellular flux glu (fmol/cell * hr^-1),Extracellular flux fru (fmol/cell * hr^-1),Extracellular flux lact (fmol/cell * hr^-1),Extracellular flux ace (fmol/cell * hr^-1),flux.glu,flux.fru,flux.lact,flux.ace,flux.glu.0,flux.fru.0,anc.value.lact.0,anc.value.ace.0,anc.value.glu.pos,anc.value.fru.pos,flux.lact.0,flux.ace.0,flux.glu.pos,flux.fru.pos
13,213,13,P5,Delta,F 40 mM,F,P,lacY,-1.65609181,-9.57793653,3.86013408,20.09842459,1069,1.069,2.24E+08,0.1558,-1.15304E-09,-6.66858E-09,2.68759E-09,1.39934E-08,-1.153043857,-6.668580093,2.687594891,13.99340596,-1.153043857,-6.668580093,2.687594891,13.99340596,0,-6.668580093,0.192178139,9.526866904,0,4.268493284,2.687594891,13.99340596,0,6.668580093
14,214,14,P6,Delta,F 40 mM,F,P,lacY,#VALUE!,-6.91798249,1.85730072,16.72825681,985,0.985,2.05E+08,0.1508,#VALUE!,-5.08517E-09,1.36524E-09,1.22964E-08,#VALUE!,-5.085167241,1.365236872,12.29635716,0,-5.085167241,1.365236872,12.29635716,0,-5.085167241,0.192178139,9.526866904,0,4.268493284,1.365236872,12.29635716,0,5.085167241
15,215,15,P7,Delta,F 40 mM,F,P,lacY,-1.58113016,-13.49384604,11.00712624,20.55756767,1114,1.114,2.34E+08,0.2368,-1.60178E-09,-1.36701E-08,1.11509E-08,2.0826E-08,-1.601779578,-13.67007446,11.15087832,20.82604767,-1.601779578,-13.67007446,11.15087832,20.82604767,0,-13.67007446,0.192178139,9.526866904,0,4.268493284,11.15087832,20.82604767,0,13.67007446
16,216,16,P8,Delta,F 40 mM,F,P,lacY,-1.40533367,-6.48786643,1.20796632,15.77710618,974,0.974,2.03E+08,0.1615,-1.11962E-09,-5.16882E-09,9.62376E-10,1.25695E-08,-1.119616307,-5.168823042,0.962375569,12.56947424,-1.119616307,-5.168823042,0.962375569,12.56947424,0,-5.168823042,0.192178139,9.526866904,0,4.268493284,0.962375569,12.56947424,0,5.168823042
17,217,17,X1,Delta,F 40 mM,F,X,lacY,#VALUE!,-4.75745731,1.89044856,13.05943013,983,0.983,2.05E+08,0.1208,#VALUE!,-2.80741E-09,1.11557E-09,7.70646E-09,#VALUE!,-2.80740981,1.115567305,7.706463742,0,-2.80740981,1.115567305,7.706463742,0,-2.80740981,0.192178139,9.526866904,0,4.268493284,1.115567305,7.706463742,0,2.80740981
18,218,18,X2,Delta,F 40 mM,F,X,lacY,-1.13268922,-5.23530126,4.62389664,10.30505143,726,0.726,1.48E+08,0.2278,-1.7465E-09,-8.07233E-09,7.1296E-09,1.58894E-08,-1.746497189,-8.072328025,7.129601254,15.88939228,-1.746497189,-8.072328025,7.129601254,15.88939228,0,-8.072328025,0.192178139,9.526866904,0,4.268493284,7.129601254,15.88939228,0,8.072328025
19,219,19,X3,Delta,F 40 mM,F,X,lacY,-2.12209994,-6.95779968,3.28163616,10.87694124,713,0.713,1.45E+08,0.2372,-3.47487E-09,-1.13932E-08,5.37357E-09,1.78106E-08,-3.474870908,-11.39317486,5.373574452,17.81064405,-3.474870908,-11.39317486,5.373574452,17.81064405,0,-11.39317486,0.192178139,9.526866904,0,4.268493284,5.373574452,17.81064405,0,11.39317486
20,220,20,X4,Delta,F 40 mM,F,X,lacY,-1.0893319,-5.11961669,0.56374032,7.413457547,577,0.577,1.15E+08,0.2084,-1.97904E-09,-9.30103E-09,1.02417E-09,1.34684E-08,-1.97903699,-9.301031949,1.024171739,13.46835313,-1.97903699,-9.301031949,1.024171739,13.46835313,0,-9.301031949,0.192178139,9.526866904,0,4.268493284,1.024171739,13.46835313,0,9.301031949
21,221,21,X5,Delta,F 40 mM,F,X,lacY,-1.17509135,-9.53676322,10.50321096,18.44584535,1110,1.11,2.33E+08,0.2819,-1.42256E-09,-1.15452E-08,1.27151E-08,2.23305E-08,-1.422560309,-11.54516271,12.71514,22.3304575,-1.422560309,-11.54516271,12.71514,22.3304575,0,-11.54516271,0.192178139,9.526866904,0,4.268493284,12.71514,22.3304575,0,11.54516271
22,222,22,X6,Delta,F 40 mM,F,X,lacY,#VALUE!,-7.68709088,5.15880288,15.5014764,946,0.946,1.97E+08,0.2511,#VALUE!,-9.82271E-09,6.59201E-09,1.98081E-08,#VALUE!,-9.822706258,6.592013302,19.80807195,0,-9.822706258,6.592013302,19.80807195,0,-9.822706258,0.192178139,9.526866904,0,4.268493284,6.592013302,19.80807195,0,9.822706258
23,223,23,X7,Delta,F 40 mM,F,X,lacY,-1.18186074,-9.03239959,10.04107104,17.45967126,924,0.924,1.92E+08,0.2171,-1.33894E-09,-1.02329E-08,1.13756E-08,1.97803E-08,-1.33894422,-10.23291393,11.37564992,19.78027117,-1.33894422,-10.23291393,11.37564992,19.78027117,0,-10.23291393,0.192178139,9.526866904,0,4.268493284,11.37564992,19.78027117,0,10.23291393
24,224,24,X8,Delta,F 40 mM,F,X,lacY,#VALUE!,-6.19622529,4.04993952,14.68730105,877,0.877,1.81E+08,0.3045,#VALUE!,-1.04119E-08,6.80534E-09,2.46799E-08,#VALUE!,-10.41186468,6.805340393,24.67989525,0,-10.41186468,6.805340393,24.67989525,0,-10.41186468,0.192178139,9.526866904,0,4.268493284,6.805340393,24.67989525,0,10.41186468
41,241,25,Anc a,Delta,F 40 mM,F,Anc,lacY,#VALUE!,-1.59035206,-0.51833232,4.273820853,117,0.117,1.27E+07,0.03609,#VALUE!,-4.5042E-09,-1.46802E-09,1.21043E-08,#VALUE!,-4.504201838,-1.468022992,12.10433352,0,-4.504201838,-1.468022992,12.10433352,0,-4.504201838,0.192178139,9.526866904,0,4.268493284,0,12.10433352,0,4.504201838
42,242,26,Anc b,Delta,F 40 mM,F,Anc,lacY,#VALUE!,-1.03374014,0.34146816,6.922169653,144,0.144,1.87E+07,0.03162,#VALUE!,-1.74537E-09,5.76534E-10,1.16874E-08,#VALUE!,-1.745365572,0.576534418,11.68738267,0,-1.745365572,0.576534418,11.68738267,0,-1.745365572,0.192178139,9.526866904,0,4.268493284,0.576534418,11.68738267,0,1.745365572
44,244,28,Anc d,Delta,F 40 mM,F,Anc,lacY,-2.56327313,-5.49251202,-0.42604056,4.0121045,165,0.165,2.34E+07,0.02791,-3.05955E-09,-6.55591E-09,-5.08526E-10,4.78888E-09,-3.059546186,-6.555912441,-0.508525898,4.788884523,-3.059546186,-6.555912441,-0.508525898,4.788884523,-3.059546186,-6.555912441,0.192178139,9.526866904,0,4.268493284,0,4.788884523,3.059546186,6.555912441
101,301,1,F1,Delta,G 40 mM + F 40 mM,GF,F,glcU,-8.72416557,-1.58564331,7.44032784,12.72694721,817,0.817,1.68E+08,0.3047,-1.58313E-08,-2.87738E-09,1.35016E-08,2.30949E-08,-15.83128318,-2.877383294,13.50157056,23.09491994,-15.83128318,-2.877383294,13.50157056,23.09491994,-15.83128318,-2.877383294,1.94116721,7.586838183,6.887545453,1.548125703,13.50157056,23.09491994,15.83128318,2.877383294
102,302,2,F2,Delta,G 40 mM + F 40 mM,GF,F,glcU,-5.4981567,-0.09504141,4.45191384,7.604887107,684,0.684,1.38E+08,0.2921,-1.16017E-08,-2.00547E-10,9.39399E-09,1.60471E-08,-11.60166798,-0.200547009,9.393989492,16.0470827,-11.60166798,-0.200547009,9.393989492,16.0470827,-11.60166798,-0.200547009,1.94116721,7.586838183,6.887545453,1.548125703,9.393989492,16.0470827,11.60166798,0.200547009
103,303,3,F3,Delta,G 40 mM + F 40 mM,GF,F,glcU,-14.6468004,-1.20528932,11.99384208,21.74068871,1376,1.376,2.92E+08,0.3679,-1.84651E-08,-1.51949E-09,1.51205E-08,2.74082E-08,-18.46505018,-1.519494167,15.12049662,27.40823232,-18.46505018,-1.519494167,15.12049662,27.40823232,-18.46505018,-1.519494167,1.94116721,7.586838183,6.887545453,1.548125703,15.12049662,27.40823232,18.46505018,1.519494167
104,304,4,F4,Delta,G 40 mM + F 40 mM,GF,F,lacY,-10.44886494,-7.76947517,13.68949032,21.28802257,1214,1.214,2.56E+08,0.3409,-1.39188E-08,-1.03496E-08,1.82356E-08,2.83575E-08,-13.91879595,-10.34961598,18.23559052,28.35749568,-13.91879595,-10.34961598,18.23559052,28.35749568,-13.91879595,-10.34961598,1.94116721,7.586838183,6.887545453,1.548125703,18.23559052,28.35749568,13.91879595,10.34961598
105,305,5,F5,Delta,G 40 mM + F 40 mM,GF,F,lacY,-10.00279121,-4.5682409,12.47630208,18.08337659,1165,1.165,2.45E+08,0.3798,-1.55031E-08,-7.08019E-09,1.93367E-08,2.80269E-08,-15.50305016,-7.080190551,19.33667642,28.02692653,-15.50305016,-7.080190551,19.33667642,28.02692653,-15.50305016,-7.080190551,1.94116721,7.586838183,6.887545453,1.548125703,19.33667642,28.02692653,15.50305016,7.080190551
106,306,6,F6,Delta,G 40 mM + F 40 mM,GF,F,lacY,-15.55070085,-5.1845221,19.01255664,30.21036725,1453,1.453,3.09E+08,0.2814,-1.41666E-08,-4.72307E-09,1.73203E-08,2.75215E-08,-14.1665997,-4.723070035,17.32033056,27.5214721,-14.1665997,-4.723070035,17.32033056,27.5214721,-14.1665997,-4.723070035,1.94116721,7.586838183,6.887545453,1.548125703,17.32033056,27.5214721,14.1665997,4.723070035
107,307,7,F7,Delta,G 40 mM + F 40 mM,GF,F,glcU,-14.61203979,-1.34380191,10.28468496,18.10568605,1323,1.323,2.80E+08,0.3504,-1.82809E-08,-1.68121E-09,1.2867E-08,2.26518E-08,-18.28094771,-1.681214451,12.86704599,22.65180665,-18.28094771,-1.681214451,12.86704599,22.65180665,-18.28094771,-1.681214451,1.94116721,7.586838183,6.887545453,1.548125703,12.86704599,22.65180665,18.28094771,1.681214451
108,308,8,F8,Delta,G 40 mM + F 40 mM,GF,F,lacY,-9.02434441,-4.0276764,16.8843972,27.6385423,1331,1.331,2.82E+08,0.4049,-1.29642E-08,-5.78609E-09,2.42558E-08,3.9705E-08,-12.96420981,-5.786087003,24.25581936,39.70502953,-12.96420981,-5.786087003,24.25581936,39.70502953,-12.96420981,-5.786087003,1.94116721,7.586838183,6.887545453,1.548125703,24.25581936,39.70502953,12.96420981,5.786087003
109,309,9,P1,Delta,G 40 mM + F 40 mM,GF,P,lacY,-9.28810144,-0.15158408,9.49810488,15.49931742,1132,1.132,2.38E+08,0.3517,-1.37405E-08,-2.24248E-10,1.40512E-08,2.29291E-08,-13.74048084,-0.224247997,14.05115232,22.92912878,-13.74048084,-0.224247997,14.05115232,22.92912878,-13.74048084,-0.224247997,1.94116721,7.586838183,6.887545453,1.548125703,14.05115232,22.92912878,13.74048084,0.224247997
110,310,10,P2,Delta,G 40 mM + F 40 mM,GF,P,lacY,-17.52370809,0.87556381,13.33825944,25.78925599,1398,1.398,2.97E+08,0.2387,-1.4098E-08,7.04402E-10,1.07308E-08,2.07478E-08,-14.09804129,0.704401984,10.73079575,20.74777746,-14.09804129,0.704401984,10.73079575,20.74777746,-14.09804129,0,1.94116721,7.586838183,6.887545453,1.548125703,10.73079575,20.74777746,14.09804129,0
111,311,11,P3,Delta,G 40 mM + F 40 mM,GF,P,lacY,-10.74065472,0.23038972,4.17049776,16.57952708,886,0.886,1.83E+08,0.147,-8.61801E-09,1.84858E-10,3.34629E-09,1.3303E-08,-8.618008666,0.184858433,3.346293757,13.30296074,-8.618008666,0.184858433,3.346293757,13.30296074,-8.618008666,0,1.94116721,7.586838183,6.887545453,1.548125703,3.346293757,13.30296074,8.618008666,0
112,312,12,P4,Delta,G 40 mM + F 40 mM,GF,P,lacY,-12.40023505,-1.24024708,10.17434352,24.22495503,1237,1.237,2.61E+08,0.188,-8.93154E-09,-8.93315E-10,7.32829E-09,1.74485E-08,-8.9315376,-0.893314795,7.328291063,17.44854802,-8.9315376,-0.893314795,7.328291063,17.44854802,-8.9315376,-0.893314795,1.94116721,7.586838183,6.887545453,1.548125703,7.328291063,17.44854802,8.9315376,0.893314795
113,313,13,P5,Delta,G 40 mM + F 40 mM,GF,P,lacY,-6.3835763,0.2908124,5.08580952,16.55194011,996,0.996,2.08E+08,0.2168,-6.66678E-09,3.03714E-10,5.31144E-09,1.72863E-08,-6.666783195,0.303714271,5.311441087,17.28626573,-6.666783195,0.303714271,5.311441087,17.28626573,-6.666783195,0,1.94116721,7.586838183,6.887545453,1.548125703,5.311441087,17.28626573,6.666783195,0
114,314,14,P6,Delta,G 40 mM + F 40 mM,GF,P,lacY,-10.02359774,0.69904219,6.64693656,17.33517008,1120,1.12,2.35E+08,0.2448,-1.04382E-08,7.27954E-10,6.92185E-09,1.80521E-08,-10.43816965,0.72795429,6.921851145,18.05214564,-10.43816965,0.72795429,6.921851145,18.05214564,-10.43816965,0,1.94116721,7.586838183,6.887545453,1.548125703,6.921851145,18.05214564,10.43816965,0
115,315,15,P7,Delta,G 40 mM + F 40 mM,GF,P,lacY,-13.09170955,0.87899178,7.60606704,21.50032227,1221,1.221,2.57E+08,0.2076,-1.05561E-08,7.08749E-10,6.13293E-09,1.73361E-08,-10.55611108,0.70874891,6.132926205,17.33614616,-10.55611108,0.70874891,6.132926205,17.33614616,-10.55611108,0,1.94116721,7.586838183,6.887545453,1.548125703,6.132926205,17.33614616,10.55611108,0
116,316,16,P8,Delta,G 40 mM + F 40 mM,GF,P,lacY,-8.59467503,-2.29707893,7.7812284,20.41579465,1221,1.221,2.57E+08,0.2425,-8.09509E-09,-2.16355E-09,7.32892E-09,1.92291E-08,-8.095085576,-2.163554811,7.3289228,19.22906966,-8.095085576,-2.163554811,7.3289228,19.22906966,-8.095085576,-2.163554811,1.94116721,7.586838183,6.887545453,1.548125703,7.3289228,19.22906966,8.095085576,2.163554811
117,317,17,X1,Delta,G 40 mM + F 40 mM,GF,X,lacY,-11.92288923,0.22959865,8.7001728,14.67362751,1132,1.132,2.38E+08,0.2615,-1.31146E-08,2.52548E-10,9.56979E-09,1.61403E-08,-13.11462313,0.252547827,9.569785077,16.14030719,-13.11462313,0.252547827,9.569785077,16.14030719,-13.11462313,0,1.94116721,7.586838183,6.887545453,1.548125703,9.569785077,16.14030719,13.11462313,0
118,318,18,X2,Delta,G 40 mM + F 40 mM,GF,X,lacY,-15.85050592,-5.13585246,15.875772,23.40358309,1362,1.362,2.89E+08,0.3601,-1.97691E-08,-6.40556E-09,1.98006E-08,2.91895E-08,-19.76912171,-6.405555309,19.80063415,29.18949621,-19.76912171,-6.405555309,19.80063415,29.18949621,-19.76912171,-6.405555309,1.94116721,7.586838183,6.887545453,1.548125703,19.80063415,29.18949621,19.76912171,6.405555309
119,319,19,X3,Delta,G 40 mM + F 40 mM,GF,X,lacY,-8.98725812,-3.26760881,13.65407208,20.08259207,1196,1.196,2.52E+08,0.2794,-9.96744E-09,-3.62399E-09,1.51432E-08,2.22729E-08,-9.967442829,-3.623986712,15.14323735,22.2728763,-9.967442829,-3.623986712,15.14323735,22.2728763,-9.967442829,-3.623986712,1.94116721,7.586838183,6.887545453,1.548125703,15.14323735,22.2728763,9.967442829,3.623986712
120,320,20,X4,Delta,G 40 mM + F 40 mM,GF,X,lacY,-8.80240809,-4.43360832,8.5355688,15.80157462,1123,1.123,2.36E+08,0.3838,-1.43308E-08,-7.21813E-09,1.38963E-08,2.57257E-08,-14.33075064,-7.218131066,13.89632324,25.72573588,-14.33075064,-7.218131066,13.89632324,25.72573588,-14.33075064,-7.218131066,1.94116721,7.586838183,6.887545453,1.548125703,13.89632324,25.72573588,14.33075064,7.218131066
121,321,21,X5,Delta,G 40 mM + F 40 mM,GF,X,lacY,-7.72611661,-3.80711855,11.49140256,18.46863458,1134,1.134,2.38E+08,0.2965,-9.61788E-09,-4.7393E-09,1.43051E-08,2.29907E-08,-9.617881874,-4.739304148,14.30511057,22.99074098,-9.617881874,-4.739304148,14.30511057,22.99074098,-9.617881874,-4.739304148,1.94116721,7.586838183,6.887545453,1.548125703,14.30511057,22.99074098,9.617881874,4.739304148
122,322,22,X6,Delta,G 40 mM + F 40 mM,GF,X,lacY,-10.54442547,-0.39802122,11.37720144,17.79623225,1038,1.038,2.17E+08,0.2777,-1.35001E-08,-5.09591E-10,1.45664E-08,2.27847E-08,-13.50014582,-0.509591018,14.5663582,22.78471512,-13.50014582,-0.509591018,14.5663582,22.78471512,-13.50014582,-0.509591018,1.94116721,7.586838183,6.887545453,1.548125703,14.5663582,22.78471512,13.50014582,0.509591018
123,323,23,X7,Delta,G 40 mM + F 40 mM,GF,X,lacY,-13.02916537,-2.79918236,10.69562736,24.19880739,1234,1.234,2.60E+08,0.2531,-1.26665E-08,-2.72126E-09,1.03979E-08,2.35252E-08,-12.66645587,-2.721257948,10.39787953,23.5251543,-12.66645587,-2.721257948,10.39787953,23.5251543,-12.66645587,-2.721257948,1.94116721,7.586838183,6.887545453,1.548125703,10.39787953,23.5251543,12.66645587,2.721257948
124,324,24,X8,Delta,G 40 mM + F 40 mM,GF,X,lacY,-15.58313578,-2.14007037,12.19749696,20.92963189,1248,1.248,2.63E+08,0.2623,-1.55151E-08,-2.13072E-09,1.21442E-08,2.08382E-08,-15.51505391,-2.130720519,12.14420676,20.83819147,-15.51505391,-2.130720519,12.14420676,20.83819147,-15.51505391,-2.130720519,1.94116721,7.586838183,6.887545453,1.548125703,12.14420676,20.83819147,15.51505391,2.130720519
141,341,25,Anc a,Delta,G 40 mM + F 40 mM,GF,Anc,lacY,-19.63592389,-3.71844337,5.71868352,23.60412834,905,0.905,1.87E+08,0.05571,-5.83677E-09,-1.10531E-09,1.69988E-09,7.01631E-09,-5.836767663,-1.105305263,1.699875556,7.016314271,-5.836767663,-1.105305263,1.699875556,7.016314271,-5.836767663,-1.105305263,1.94116721,7.586838183,6.887545453,1.548125703,1.699875556,7.016314271,5.836767663,1.105305263
142,342,26,Anc b,Delta,G 40 mM + F 40 mM,GF,Anc,lacY,-18.39421842,-3.40141265,5.65113912,23.76005467,940,0.94,1.95E+08,0.06248,-5.88836E-09,-1.08886E-09,1.80904E-09,7.60607E-09,-5.888358154,-1.088860394,1.809042948,7.606069933,-5.888358154,-1.088860394,1.809042948,7.606069933,-5.888358154,-1.088860394,1.94116721,7.586838183,6.887545453,1.548125703,1.809042948,7.606069933,5.888358154,1.088860394
143,343,27,Anc c,Delta,G 40 mM + F 40 mM,GF,Anc,lacY,-21.75848066,-6.42330005,5.60527704,18.48326767,997,0.997,2.08E+08,0.08564,-8.96674E-09,-2.64706E-09,2.30995E-09,7.61702E-09,-8.966743023,-2.647063543,2.309953511,7.617016738,-8.966743023,-2.647063543,2.309953511,7.617016738,-8.966743023,-2.647063543,1.94116721,7.586838183,6.887545453,1.548125703,2.309953511,7.617016738,8.966743023,2.647063543
144,344,28,Anc d,Delta,G 40 mM + F 40 mM,GF,Anc,lacY,-20.70150063,-4.07875692,5.87329776,24.47347762,1056,1.056,2.21E+08,0.07318,-6.85831E-09,-1.35127E-09,1.9458E-09,8.10795E-09,-6.858312974,-1.351273611,1.945796827,8.10795179,-6.858312974,-1.351273611,1.945796827,8.10795179,-6.858312974,-1.351273611,1.94116721,7.586838183,6.887545453,1.548125703,1.945796827,8.10795179,6.858312974,1.351273611
