coverage	n
1	174
2	161
3	281
4	418
5	448
6	620
7	642
8	874
9	977
10	1057
11	1242
12	1239
13	1425
14	1629
15	1986
16	1973
17	2086
18	2427
19	2681
20	2967
21	3270
22	3247
23	3628
24	4084
25	4293
26	4804
27	5265
28	5718
29	5998
30	6518
31	7019
32	7468
33	7690
34	8452
35	8914
36	9529
37	10076
38	10624
39	11092
40	12003
41	12576
42	13532
43	14278
44	15272
45	16084
46	16999
47	17751
48	18427
49	19519
50	20133
51	21275
52	21880
53	22497
54	23483
55	24253
56	24809
57	25271
58	26549
59	26719
60	27367
61	27884
62	28438
63	28753
64	28919
65	29731
66	29961
67	29859
68	30257
69	30381
70	30387
71	30460
72	29943
73	29851
74	29541
75	29164
76	29061
77	28538
78	28474
79	27873
80	27638
81	26908
82	27014
83	26343
84	25828
85	24696
86	24524
87	23507
88	23178
89	22678
90	21681
91	20958
92	20398
93	20000
94	19251
95	18511
96	17680
97	17125
98	16846
99	15961
100	15402
101	14882
102	14338
103	13762
104	13376
105	12624
106	12083
107	11406
108	10821
109	10345
110	10305
111	9553
112	9326
113	8932
114	8485
115	7865
116	7451
117	7221
118	6889
119	6440
120	5967
121	5777
122	5465
123	5389
124	4958
125	4727
126	4533
127	4248
128	3923
129	3784
130	3595
131	3476
132	3169
133	3146
134	2799
135	2717
136	2647
137	2415
138	2343
139	2271
140	2202
141	2069
142	1851
143	1806
144	1612
145	1551
146	1511
147	1391
148	1260
149	1221
150	1144
151	1069
152	992
153	984
154	922
155	923
156	842
157	826
158	765
159	654
160	683
161	632
162	621
163	620
164	489
165	488
166	445
167	419
168	432
169	392
170	391
171	366
172	330
173	310
174	294
175	268
176	264
177	244
178	211
179	238
180	224
181	195
182	166
183	165
184	167
185	171
186	131
187	119
188	124
189	116
190	113
191	97
192	74
193	115
194	112
195	82
196	84
197	64
198	73
199	67
200	55
201	68
202	57
203	44
204	48
205	45
206	42
207	42
208	33
209	35
210	29
211	31
212	19
213	27
214	21
215	27
216	24
217	26
218	28
219	15
220	22
221	16
222	22
223	11
224	14
225	19
226	11
227	10
228	6
229	7
230	10
231	5
232	9
233	5
234	8
235	3
236	4
237	1
238	8
239	5
240	5
241	6
242	6
243	4
244	4
245	1
246	6
247	3
248	1
249	8
250	3
251	5
252	4
253	1
254	5
255	2
256	1
257	3
258	1
259	1
260	0
261	0
262	2
