Pop_ID,Evolution_treatment,Replicate_number,num.muts
1,F,1,5
2,F,2,5.55
3,F,3,4.085
4,F,4,4.935
5,F,5,5
6,F,6,6.021
7,F,7,6.777
8,F,8,4.865
9,P,1,5.947
10,P,2,4.868
11,P,3,5.294
12,P,4,9.308
13,P,5,4.131
14,P,6,9.352
15,P,7,6.329
16,P,8,3
17,X,1,6.288
18,X,2,7
19,X,3,4.898
20,X,4,3.684
21,X,5,6.587
22,X,6,4.431
23,X,7,9.017
24,X,8,5.092
