coverage	n
1	75
2	164
3	182
4	388
5	450
6	662
7	736
8	793
9	970
10	1028
11	1214
12	1313
13	1306
14	1450
15	1588
16	1746
17	1829
18	1986
19	2138
20	2484
21	2562
22	2808
23	3050
24	3370
25	3610
26	3949
27	4027
28	4276
29	4556
30	4978
31	5353
32	5420
33	5874
34	6439
35	6697
36	7023
37	7509
38	7854
39	8186
40	8803
41	9417
42	10102
43	10452
44	10949
45	11438
46	12172
47	12756
48	13373
49	13813
50	14417
51	15080
52	15739
53	16812
54	17420
55	18073
56	18550
57	18946
58	19910
59	20517
60	20906
61	21375
62	21789
63	22791
64	23281
65	23531
66	23862
67	24515
68	24580
69	25280
70	25430
71	25594
72	26036
73	26020
74	26763
75	26535
76	26559
77	26740
78	27030
79	26702
80	26996
81	26586
82	26594
83	26398
84	25855
85	25943
86	25628
87	25095
88	24560
89	24474
90	24075
91	23753
92	23296
93	22837
94	21957
95	21607
96	20839
97	20649
98	20050
99	19668
100	19738
101	19119
102	18488
103	17964
104	17287
105	16743
106	16350
107	16200
108	15515
109	15165
110	14375
111	13962
112	13714
113	13169
114	12634
115	12164
116	11501
117	11115
118	10797
119	10453
120	9978
121	9450
122	9205
123	8681
124	8459
125	8204
126	7835
127	7401
128	7066
129	6819
130	6511
131	6264
132	6085
133	5629
134	5470
135	5247
136	5032
137	4810
138	4584
139	4487
140	4302
141	4028
142	3879
143	3554
144	3307
145	3270
146	3091
147	3058
148	2787
149	2765
150	2567
151	2445
152	2403
153	2280
154	2102
155	1976
156	1984
157	1889
158	1727
159	1696
160	1597
161	1486
162	1372
163	1321
164	1352
165	1224
166	1147
167	1120
168	981
169	976
170	924
171	822
172	860
173	774
174	708
175	694
176	710
177	684
178	588
179	528
180	507
181	511
182	476
183	412
184	376
185	345
186	361
187	371
188	338
189	324
190	310
191	254
192	221
193	244
194	250
195	244
196	203
197	183
198	190
199	179
200	153
201	177
202	138
203	157
204	128
205	117
206	102
207	111
208	114
209	112
210	111
211	96
212	98
213	101
214	100
215	68
216	91
217	87
218	71
219	74
220	70
221	64
222	55
223	49
224	61
225	56
226	62
227	53
228	49
229	37
230	21
231	31
232	36
233	26
234	28
235	25
236	23
237	22
238	31
239	20
240	14
241	12
242	8
243	15
244	9
245	10
246	18
247	9
248	7
249	4
250	11
251	10
252	11
253	7
254	4
255	4
256	2
257	1
258	2
259	1
260	3
261	8
262	3
263	1
264	1
265	2
266	2
267	3
268	3
269	1
270	0
271	2
272	1
273	0
274	1
275	0
276	1
277	1
278	1
279	1
280	0
281	1
282	1
283	0
284	3
285	1
286	2
287	2
288	0
289	0
290	1
