mut_type,Treatment,prop,count,order
Carbohydrate metabolism,F,,4,2
Carbohydrate transport,F,,2,1
Carbohydrate metabolism,P,,5,4
Carbohydrate transport,P,,1,3
Carbohydrate metabolism,X,,8,6
Carbohydrate transport,X,,0,5
