coverage	n
1	40
2	64
3	122
4	174
5	287
6	341
7	294
8	409
9	462
10	508
11	694
12	653
13	804
14	784
15	959
16	924
17	1024
18	981
19	1126
20	1301
21	1466
22	1643
23	1819
24	1938
25	2056
26	2153
27	2400
28	2593
29	2876
30	3111
31	3532
32	3738
33	4169
34	4360
35	4794
36	5166
37	5457
38	5805
39	6219
40	6811
41	7359
42	8015
43	8421
44	9142
45	9484
46	9972
47	10951
48	11506
49	12118
50	13098
51	13828
52	14322
53	15053
54	15947
55	16582
56	17374
57	18032
58	18933
59	19785
60	20226
61	21267
62	21775
63	22783
64	23285
65	23530
66	24352
67	24427
68	25144
69	25490
70	25987
71	26748
72	27058
73	27856
74	27981
75	27996
76	27896
77	27926
78	28022
79	28153
80	28941
81	28543
82	28524
83	28476
84	27994
85	27889
86	27468
87	27510
88	26946
89	26653
90	26514
91	25897
92	25331
93	25186
94	24419
95	23972
96	23389
97	23146
98	22418
99	21889
100	21239
101	20322
102	19913
103	19169
104	18605
105	17815
106	17948
107	17268
108	16659
109	15798
110	15802
111	15119
112	14152
113	13887
114	13658
115	12934
116	12709
117	12091
118	11568
119	11276
120	10710
121	10146
122	9894
123	9300
124	9111
125	8608
126	8113
127	7836
128	7299
129	7286
130	6877
131	6602
132	6144
133	5858
134	5695
135	5390
136	5123
137	4941
138	4627
139	4283
140	4137
141	3870
142	3671
143	3520
144	3292
145	3172
146	2897
147	2769
148	2597
149	2501
150	2365
151	2336
152	2181
153	1918
154	1949
155	1830
156	1659
157	1588
158	1555
159	1316
160	1379
161	1218
162	1259
163	1216
164	1062
165	1015
166	911
167	835
168	733
169	713
170	731
171	637
172	644
173	638
174	554
175	590
176	542
177	483
178	454
179	433
180	420
181	380
182	345
183	363
184	342
185	327
186	278
187	283
188	227
189	254
190	223
191	230
192	213
193	190
194	186
195	170
196	168
197	141
198	130
199	107
200	104
201	102
202	106
203	107
204	92
205	81
206	84
207	100
208	65
209	87
210	66
211	71
212	82
213	65
214	67
215	43
216	47
217	54
218	40
219	37
220	42
221	27
222	28
223	36
224	26
225	29
226	11
227	23
228	12
229	18
230	16
231	15
232	4
233	8
234	7
235	6
236	4
237	6
238	12
239	8
240	4
241	5
242	9
243	7
244	5
245	0
246	2
247	4
248	3
249	2
250	2
251	2
252	5
253	4
254	10
255	3
256	8
257	10
258	6
259	3
260	1
261	1
262	2
263	1
264	1
265	0
266	0
267	1
268	1
269	0
270	0
271	1
272	1
273	0
274	1
275	0
276	0
277	1
278	0
279	0
280	1
281	0
282	4
283	1
284	1
