mut_type,Treatment,prop,count,order
Carbohydrate metabolism,F,0.1875,3,1
Carbohydrate transport,F,0.1875,3,2
Other,F,0.625,10,3
Carbohydrate metabolism,P,0.25,4,4
Carbohydrate transport,P,0.125,2,5
Other,P,0.5,8,6
Carbohydrate metabolism,X,0.0625,7,7
Carbohydrate transport,X,0.4375,1,8
Other,X,0.375,6,9
